TIMESTAMP,Temp_daily,RelH_daily
2017-03-01,1.29625,93.25325
2017-03-02,9.268,54.67525
2017-03-03,2.99575,93.104
2017-03-04,NA,NA
2017-03-05,NA,NA
2017-03-06,0.27275,92.00375
2017-03-07,1.6835,97.07725
2017-03-08,6.24075,99.63075
2017-03-09,3.83375,89.68875
2017-03-10,5.7,77.5995
2017-03-11,5.353,78.97425
2017-03-12,6.2615,68.4055
2017-03-13,6.15975,66.74575
2017-03-14,7.091,64.0195
2017-03-15,7.70725,67.535
2017-03-16,10.69125,49.828
2017-03-17,8.68625,87.509
2017-03-18,8.21975,85.352
2017-03-19,8.5495,82.99525
2017-03-20,8.27575,74.548
2017-03-21,4.92775,96.07775
2017-03-22,9.55825,66.5925
2017-03-23,10.7605,61.44475
2017-03-24,6.9965,92.83075
2017-03-25,5.10175,89.85125
2017-03-26,7.13525,77.292
2017-03-27,7.895,71.69225
2017-03-28,8.61175,67.9865
2017-03-29,10.779,54.31825
2017-03-30,NA,NA
2017-03-31,NA,NA
